Art Style                        Mean    Standard Deviation    Minimum    Maximum
--------------------------  ---------  --------------------  ---------  ---------
Abstract_Expressionism      -0.009836              0.91805     -0.9781     0.9705
Action_painting             -0.209588              0.599212    -0.9552     0.7717
Analytical_Cubism           -0.129713              0.619757    -0.8838     0.872
Art_Nouveau_Modern           0.003739              0.949758    -0.9694     0.976
Baroque                      0.002584              0.955441    -0.974      0.9812
Color_Field_Painting         0.006529              0.920045    -0.9755     0.965
Contemporary_Realism         0.022579              0.884693    -0.9485     0.9839
Cubism                      -0.008978              0.914378    -0.9771     0.9601
Early_Renaissance           -0.010856              0.925233    -0.9819     0.9682
Expressionism               -0.002144              0.953686    -0.9912     0.9781
Fauvism                      0.012795              0.90253     -0.98       0.9601
High_Renaissance            -0.007795              0.922027    -0.9716     0.9791
Impressionism                0.007113              0.961526    -0.9819     0.9928
Mannerism_Late_Renaissance  -0.00289               0.923876    -0.9669     0.952
Minimalism                   0.003114              0.893678    -0.9819     0.9652
Naive_Art_Primitivism        0.004393              0.932151    -0.9711     0.9661
New_Realism                  0.026064              0.855058    -0.9666     0.9678
Northern_Renaissance        -0.004778              0.946605    -0.9835     0.9738
Pointillism                  0.024818              0.880344    -0.9643     0.9751
Pop_Art                     -0.000777              0.925781    -0.9524     0.9678
Post_Impressionism           0.003968              0.948912    -0.9819     0.9824
Realism                      0.002954              0.9587      -0.9913     0.9847
Rococo                       0.012114              0.945596    -0.9813     0.9841
Romanticism                  0.002861              0.963136    -0.9792     0.9918
Symbolism                    0.00577               0.94542     -0.9674     0.9812
Synthetic_Cubism            -0.051281              0.736849    -0.9153     0.9201
Ukiyo_e                     -0.005928              0.91359     -0.9622     0.9666
